qspi_offset_addr_spl;0x0;0x10000000;0x100000;size_spl
qspi_offset_addr_u-boot;0x100000;0x10100000;0x80000;size_u-boot
qspi_offset_addr_u-boot-env;0x180000;;0x80000;size_u-boot-env
qspi_offset_addr_boot-script;0x200000;0x10200000;0x80000;size_boot-script
qspi_offset_addr_devicetree;0x280000;0x10300000;0x40000;size_devicetree
qspi_offset_addr_dtoverlay;0x2c0000;0x10400000;0x40000;size_dtoverlay
qspi_offset_addr_bitstream;0x300000;0x11000000;0xD00000;size_bitstream
qspi_offset_addr_kernel;0x1000000;0x12000000;0x1000000;size_kernel
qspi_offset_addr_rootfs;0x2000000;0x13000000;0x2000000;size_rootfs
;;;;
;;;;
qspi_offset_addr_spl;0x0;0x10000000;0x100000;size_spl
qspi_offset_addr_u-boot;0x100000;0x10100000;0x80000;size_u-boot
qspi_offset_addr_u-boot-env;0x180000;;0x80000;size_u-boot-env
qspi_offset_addr_boot-script;0x200000;0x10200000;0x80000;size_boot-script
qspi_offset_addr_bitstream;0x300000;0x10300000;0xD00000;size_bitstream
qspi_offset_addr_kernel;0x1000000;0x11000000;0x3000000;size_kernel
